Symbol	SRS1	SRS2	deStatus
CXCR3	3.69	4.7	Yes
CXCR5	5.42	6.45	Yes
CXCR6	2.8	3.52	Yes
CXCR7	3.5	4.38	Yes
CXorf57	2.99	4.15	Yes
CXorf64	4.08	4.69	Yes
CXXC5	7.94	9.08	Yes
CXXC5	7.21	8.41	Yes
CYB561	5.73	6.32	Yes
CYB561	5.66	6.24	Yes
CYB5A	5.67	6.6	Yes
CYB5R4	10.43	9.83	Yes
CYCS	3.95	4.55	Yes
CYFIP1	6.45	7.37	Yes
CYLN2	4.86	5.55	Yes
CYorf15A	4.68	5.28	Yes
CYP19A1	5.83	4.24	Yes
CYP19A1	4.88	2.82	Yes
CYP1B1	11.57	10.05	Yes
CYP20A1	5.25	5.87	Yes
CYP27A1	8.98	9.67	Yes
CYP2R1	5.11	5.88	Yes
CYP2S1	2.81	3.62	Yes
CYP4F12	3.84	5.28	Yes
CYP4V2	6.07	6.95	Yes
CYTSB	4.67	5.43	Yes
CYYR1	5.61	4.29	Yes
D4S234E	3.93	5.76	Yes
DAAM2	8.14	6.65	Yes
DACH1	8.59	7.35	Yes
DACH1	4.27	3.34	Yes
DAG1	4.62	5.43	Yes
DBN1	6.23	7	Yes
DBNDD2	8.07	8.79	Yes
DBP	4.69	5.36	Yes
DCTD	6.66	7.65	Yes
DCTD	4.11	5.44	Yes
DCUN1D4	5.73	6.53	Yes
DDAH2	9.47	8.17	Yes
DDEF2	5.71	6.29	Yes
DDHD2	6.41	7.04	Yes
DDX10	4.74	6.16	Yes
DDX18	7.89	8.74	Yes
DDX19A	5.5	6.58	Yes
DDX24	7.48	8.31	Yes
DDX31	3.75	4.42	Yes
DDX39	9.12	9.75	Yes
DDX47	8.02	8.98	Yes
DDX51	4.48	5.15	Yes
DDX55	7.64	8.35	Yes
DDX56	6.81	7.61	Yes
DEFA4	9.58	10.26	Yes
DEFB130	5.1	4.26	Yes
DENND4C	7.75	8.37	Yes
DENND5B	3.61	4.39	Yes
DEXI	6.61	7.39	Yes
DFFA	5.65	6.87	Yes
DGCR6	7.24	7.82	Yes
DGCR6L	6.52	7.15	Yes
DHCR7	6.77	6.02	Yes
DHCR7	6.4	5.24	Yes
DHRS13	8.57	7.85	Yes
DHRS3	5.65	6.25	Yes
DHRS4	7.83	8.86	Yes
DHRS4	5.47	6.14	Yes
DHRS4L2	4.38	5.63	Yes
DHRS9	12.44	11.01	Yes
DHRS9	10.62	8.93	Yes
DHRS9	6.19	4.63	Yes
DHX30	4.45	5.27	Yes
DHX32	5.51	6.43	Yes
DHX37	6.18	7.04	Yes
DICER1	10.21	9.52	Yes
DIMT1L	7.63	8.29	Yes
DIRC2	9.9	9.11	Yes
DIS3L	6.55	7.44	Yes
dJ341D10.1	9.33	8.34	Yes
DKC1	8.06	8.66	Yes
DKFZp761P0423	5.77	6.59	Yes
DLC1	4.4	2.82	Yes
DLG4	5.5	6.34	Yes
DMWD	5.6	6.21	Yes
DNAJA3	7.25	8.05	Yes
DNAJC10	6.66	7.46	Yes
DNAJC13	8.79	8.18	Yes
DNAJC24	4.96	5.57	Yes
DNAJC25-GNG10	7.69	6.88	Yes
DNAJC30	4.43	5.47	Yes
DNAJC30	4.46	5.1	Yes
DNAJC4	9.46	8.71	Yes
DNAJC5	8.1	7.42	Yes
DNAJC9	7.45	8.12	Yes
DNASE1L1	7.62	6.98	Yes
DNASE1L1	9.29	8.49	Yes
DNMT1	8.93	9.94	Yes
DNPEP	5.11	5.8	Yes
DOCK10	7.95	9.04	Yes
DOK2	6.91	8.04	Yes
DOK2	3.71	4.54	Yes
